SaleID,Date,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesRepID,RegionID
S00001,2023-01-31,C004,P004,5,56.81,0.1,SR02,R03
S00002,30.12.2023,C001,P005,7,98.78,0.15,SR01,R01
S00003,2022-05-10,C001,P006,3,97.12,0.15,SR01,R01
S00004,2023-07-18,C003,P002,9,47.33,0.05,SR01,R01
S00005,2023-02-04,C004,P001,4,71.67,0.15,SR02,R03
S00006,2022-12-31,C002,P003,2,34.08,0.0,SR03,R01
S00007,2024-09-20,C005,P004,3,23.74,0.0,SR02,R01
S00008,2022-11-10,C005,P002,5,79.16,0.15,SR01,R03
S00009,2024-06-26,C003,P005,300,49.26,0.05,SR01,R02
S00010,2020-05-01,C002,P002,5,2000,0.05,SR02,R02
S00011,2021-04-11,C003,P004,4,78.3,0.05,SR01,R03
S00012,2023-05-23,C001,P004,3,92.37,0.15,SR01,R02
S00013,2020-11-26,C004,P004,6,93.99,0.15,SR02,R01
S00014,2024-01-22,C004,P004,8,63.67,0.05,SR03,R03
S00015,2020-03-28,C004,P003,4,53.17,0.15,SR01,R03
S00016,2023-10-28,C004,P003,9,22.77,0.1,SR03,R02
S00017,2023-01-28,C002,P002,6,81.35,0.0,SR03,R03
S00018,2022-05-21,C002,P001,5,95.08,0.15,SR03,R03
S00019,2024-08-14,C003,P004,3,90.05,0.1,SR03,R01
S00020,2020-05-10,C002,P002,5,77.66,0.15,SR01,R03
S00021,2024-08-12,C001,P002,5,10.41,0.1,SR01,R03
S00022,2023-08-25,C001,P002,4,46.7,0.05,SR02,R03
S00023,2022-02-08,C004,P004,6,46.96,0.0,SR01,R03
S00024,2020-12-09,C001,P004,3,90.49,0.15,SR02,R02
S00025,2024-02-24,C003,P002,1,15.91,0.1,SR03,R03
S00026,2023-12-08,C002,P004,7,57.81,0.1,SR02,R01
S00027,2022-03-16,C002,P002,7,22.25,0.05,SR02,R02
S00028,2021-01-20,C002,P003,4,69.61,0.0,SR01,R03
S00029,2023-04-30,C001,P004,9,81.3,0.0,SR02,R02
S00030,2022-08-13,C002,P003,2,67.78,0.0,SR03,R03
S00031,2020-10-03,C004,P001,1,81.51,0.1,SR01,R03
S00032,2023-03-30,C004,P004,3,64.67,0.15,SR01,R02
S00033,2021-04-04,C004,P001,7,27.09,0.15,SR01,R02
S00034,2023-08-30,C001,P002,9,44.44,0.05,SR03,R02
